NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4011, Alameda County, California",4210,59500,1229,582000,1216,411,167,76,2972,380,06,001,401100
"Census Tract 4014, Alameda County, California",4190,28532,919,333700,337,169,18,10,2035,330,06,001,401400
"Census Tract 4427, Alameda County, California",3275,105395,1688,621800,630,310,48,31,1591,48,06,001,442700
"Census Tract 4512.01, Alameda County, California",6955,93887,1723,425100,1129,503,74,57,3776,162,06,001,451201
"Census Tract 4514.01, Alameda County, California",6498,87865,1543,571800,1099,496,169,150,3656,187,06,001,451401
"Census Tract 4516.02, Alameda County, California",6921,87801,1246,529600,1600,621,83,128,3795,165,06,001,451602
"Census Tract 4003, Alameda County, California",5377,84598,1150,856600,1507,964,301,212,3594,317,06,001,400300
"Census Tract 4018, Alameda County, California",1947,26806,906,355900,245,78,27,6,975,195,06,001,401800
"Census Tract 4045.02, Alameda County, California",5433,119688,2210,736900,1634,1007,490,199,3072,120,06,001,404502
"Census Tract 4067, Alameda County, California",5028,70065,1138,505600,849,769,135,125,2632,253,06,001,406700
"Census Tract 4086, Alameda County, California",6225,30453,1088,225000,126,60,11,0,2499,354,06,001,408600
"Census Tract 4090, Alameda County, California",3928,47717,1440,173200,151,7,0,0,1884,251,06,001,409000
"Census Tract 4098, Alameda County, California",3123,63819,1048,409000,234,158,38,48,1286,84,06,001,409800
"Census Tract 4100, Alameda County, California",3187,107596,1656,552300,658,314,154,39,1676,111,06,001,410000
"Census Tract 4212, Alameda County, California",3668,150673,1325,990000,792,938,351,352,1775,89,06,001,421200
"Census Tract 4235, Alameda County, California",3195,42813,1170,646100,697,549,99,212,1927,210,06,001,423500
"Census Tract 4402, Alameda County, California",6197,60461,1498,400000,230,91,34,16,2949,119,06,001,440200
"Census Tract 4403.08, Alameda County, California",5569,71130,1548,501100,939,566,62,71,2689,83,06,001,440308
"Census Tract 4415.01, Alameda County, California",6602,130648,2225,664300,1563,617,101,56,3512,151,06,001,441501
"Census Tract 4425, Alameda County, California",7473,72445,1409,493700,1448,585,50,22,3941,244,06,001,442500
"Census Tract 4503, Alameda County, California",5118,102750,2214,539600,1203,292,68,67,2921,135,06,001,450300
"Census Tract 4506.07, Alameda County, California",5302,90739,1395,806300,996,569,8,189,3074,195,06,001,450607
"Census Tract 4047, Alameda County, California",2135,151083,3500,855900,660,322,132,95,1197,77,06,001,404700
"Census Tract 4049, Alameda County, California",4118,73787,1077,609400,1138,647,191,163,2253,99,06,001,404900
"Census Tract 4052, Alameda County, California",4783,72344,1307,690800,1604,674,236,116,3405,284,06,001,405200
"Census Tract 4063, Alameda County, California",3994,42174,962,281300,483,193,21,4,1949,142,06,001,406300
